Код;Наименование;Артикул;Базовая единица измерения;Комментарий;Основная единица измерения;Основное свойство;Полное наименование;ВыгружатьВИнтернетМагазин;НаименованиеИМ;Длинна;Ширина;Высота;Объем;Блокировать скидку по карте;Статус товара;Штрихкоды номенклатуры
00079113;            Выключатель автоматический модульный 2п C 25А 4.5кА City9 Set 230В SE C9F34225;C9F34225;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 2п C 25А 4.5кА City9 Set 230В SE C9F34225;1;Выключатель автоматический модульный 2п C 25А 4.5кА City9 Set 230В SE C9F34225;2;9;8;0,0001;1;Новинка;4,68E+12
00079114;            Выключатель автоматический модульный 2п C 32А 4.5кА City9 Set 230В SE C9F34232;C9F34232;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 2п C 32А 4.5кА City9 Set 230В SE C9F34232;1;Выключатель автоматический модульный 2п C 32А 4.5кА City9 Set 230В SE C9F34232;2;9;8;0,0001;1;Новинка;4,68E+12
00079115;            Выключатель автоматический модульный 2п C 40А 4.5кА City9 Set 230В SE C9F34240;C9F34240;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 2п C 40А 4.5кА City9 Set 230В SE C9F34240;1;Выключатель автоматический модульный 2п C 40А 4.5кА City9 Set 230В SE C9F34240;2;9;8;0,0001;1;Новинка;4,68E+12
00079116;            Выключатель автоматический модульный 2п C 50А 4.5кА City9 Set 230В SE C9F34250;C9F34250;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 2п C 50А 4.5кА City9 Set 230В SE C9F34250;1;Выключатель автоматический модульный 2п C 50А 4.5кА City9 Set 230В SE C9F34250;2;9;8;0,0001;1;Новинка;4,68E+12
00079117;            Выключатель автоматический модульный 2п C 63А 4.5кА City9 Set 230В SE C9F34263;C9F34263;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 2п C 63А 4.5кА City9 Set 230В SE C9F34263;1;Выключатель автоматический модульный 2п C 63А 4.5кА City9 Set 230В SE C9F34263;2;9;8;0,0001;1;Новинка;4,68E+12
00079118;            Выключатель автоматический модульный 3п C 10А 4.5кА City9 Set 400В SE C9F34310;C9F34310;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 10А 4.5кА City9 Set 400В SE C9F34310;1;Выключатель автоматический модульный 3п C 10А 4.5кА City9 Set 400В SE C9F34310;2;9;8;0,0001;1;Новинка;4,68E+12
00079121;            Выключатель автоматический модульный 3п C 16А 4.5кА City9 Set 400В SE C9F34316;C9F34316;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 16А 4.5кА City9 Set 400В SE C9F34316;1;Выключатель автоматический модульный 3п C 16А 4.5кА City9 Set 400В SE C9F34316;2;9;8;0,0001;1;Новинка;4,68E+12
00079122;            Выключатель автоматический модульный 3п C 25А 4.5кА City9 Set 400В SE C9F34325;C9F34325;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 25А 4.5кА City9 Set 400В SE C9F34325;1;Выключатель автоматический модульный 3п C 25А 4.5кА City9 Set 400В SE C9F34325;2;9;8;0,0001;1;Новинка;4,68E+12
00079123;            Выключатель автоматический модульный 3п C 40А 4.5кА City9 Set 400В SE C9F34340;C9F34340;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 40А 4.5кА City9 Set 400В SE C9F34340;1;Выключатель автоматический модульный 3п C 40А 4.5кА City9 Set 400В SE C9F34340;2;9;8;0,0001;1;Новинка;4,68E+12
00079125;            Выключатель автоматический модульный 3п C 50А 4.5кА City9 Set 400В SE C9F34350;C9F34350;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 50А 4.5кА City9 Set 400В SE C9F34350;1;Выключатель автоматический модульный 3п C 50А 4.5кА City9 Set 400В SE C9F34350;2;9;8;0,0001;1;Новинка;4,68E+12
00079126;            Выключатель автоматический модульный 3п C 63А 4.5кА City9 Set 400В SE C9F34363;C9F34363;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель автоматический модульный 3п C 63А 4.5кА City9 Set 400В SE C9F34363;1;Выключатель автоматический модульный 3п C 63А 4.5кА City9 Set 400В SE C9F34363;2;9;8;0,0001;1;Новинка;4,68E+12
00079127;            Выключатель дифференциального тока (УЗО) 2п 25А 30мА тип AC City9 Set 230В SE C9R36225;C9R36225;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциального тока (УЗО) 2п 25А 30мА тип AC City9 Set 230В SE C9R36225;1;Выключатель дифференциального тока (УЗО) 2п 25А 30мА тип AC City9 Set 230В SE C9R36225;4;9;8;0,0003;1;Новинка;"4680409064016                 
4680409064023"
00079128;            Выключатель дифференциального тока (УЗО) 2п 40А 30мА тип AC City9 Set 230В SE C9R36240;C9R36240;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциального тока (УЗО) 2п 40А 30мА тип AC City9 Set 230В SE C9R36240;1;Выключатель дифференциального тока (УЗО) 2п 40А 30мА тип AC City9 Set 230В SE C9R36240;4;9;8;0,0003;1;Новинка;"4680409064030                 
4680409064047"
00079129;            Выключатель дифференциального тока (УЗО) 2п 63А 100мА тип AC City9 Set 230В SE C9R56263;C9R56263;шт;Автоматический выключатель представляет собой коммутационный прибор, который механически размыкает цепь при появлении аварийной ситуации, защищая больше присоединённых к ней приборов от повреждения и вероятного пожара. Автоматические выключатели Schneider;шт; ;Выключатель дифференциального тока (УЗО) 2п 63А 100мА тип AC City9 Set 230В SE C9R56263;1;Выключатель дифференциального тока (УЗО) 2п 63А 100мА тип AC City9 Set 230В SE C9R56263;4;9;8;0,0003;1;Новинка;4,68E+12
