Код;Наименование;Артикул;Базовая единица измерения;Комментарий;Основная единица измерения;Основное свойство;Полное наименование;ВыгружатьВИнтернетМагазин;НаименованиеИМ;Длинна;Ширина;Высота;Объем;Блокировать скидку по карте;Статус товара;Штрихкоды номенклатуры
00078956;   Автоматические выключатели, УЗО, дифференциальные автоматы;;;;;;;;;;;;;;;
00078957;      ABB;;;;;;;;;;;;;;;
00078962;         Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201 16А C 6кА (SH201 C 16) | SH201C16 | ABB ЭЛК;0;0;0;0;1;Новинка;"3606480586842                 
4016779630641"
00078963;         Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201 25А C 6кА (SH201 C 25) | SH201C25 | ABB ЭЛК;0;0;0,0001;0;1;Новинка;"3606480586866                 
4016779630689"
00078964;         Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК;1;Выключатель автоматический однополюсный SH201L 20А C 4,5кА (SH201L C20) | | ABB ЭЛК;0;0;0;0,0001;1;Новинка;"3606480586859                 
4016779633024                 
4680409061985"
00078965;         Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК; ;шт;Модульные однополюсные выключатели ABB S201 C предназначены для защиты электрических цепей от перегрузок и коротких замыканий в линиях кабелей, электродвигателях, систем освещения, а также розеточных линий. Они имеют два различных механизма отключения- ме;шт; ;Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК;1;Выключатель автоматический однополюсный SH201L 32А C 4,5кА (SH201L C32) ABB ЭЛК;0;0;0;0,0001;1;Новинка;4,02E+12
00078958;      EKF;;;;;;;;;;;;;;;
00078968;         Серия Basic;;;;;;;;;;;;;;;
00078974;            Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;1;Выключатель автоматический модульный 1п C 10А 4.5кА ВА 47-29 Basic EKF mcb4729-1-10C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078975;            Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;248306;шт; ;шт; ;Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;1;Выключатель автоматический модульный 1п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-1-16C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078976;            Выключатель автоматический модульный 1п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-1-25C RS;248308;шт; ;шт; ;Выключатель автоматический модульный 1п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-1-25C RS;1;Выключатель автоматический модульный 1п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-1-25C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078977;            Выключатель автоматический модульный 1п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-1-32C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-1-32C RS;1;Выключатель автоматический модульный 1п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-1-32C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078978;            Выключатель автоматический модульный 1п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-1-40C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-1-40C RS;1;Выключатель автоматический модульный 1п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-1-40C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078979;            Выключатель автоматический модульный 1п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-1-63C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-1-63C RS;1;Выключатель автоматический модульный 1п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-1-63C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078980;            Выключатель автоматический модульный 1п C 6А 4.5кА ВА 47-29 Basic EKF mcb4729-1-06C RS; ;шт; ;шт; ;Выключатель автоматический модульный 1п C 6А 4.5кА ВА 47-29 Basic EKF mcb4729-1-06C RS;1;Выключатель автоматический модульный 1п C 6А 4.5кА ВА 47-29 Basic EKF mcb4729-1-06C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078981;            Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-2-16C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-2-16C RS;1;Выключатель автоматический модульный 2п C 16А 4.5кА ВА 47-29 Basic EKF mcb4729-2-16C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078982;            Выключатель автоматический модульный 2п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-2-25C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-2-25C RS;1;Выключатель автоматический модульный 2п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-2-25C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078983;            Выключатель автоматический модульный 2п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-2-32C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-2-32C RS;1;Выключатель автоматический модульный 2п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-2-32C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078984;            Выключатель автоматический модульный 2п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-2-40C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-2-40C RS;1;Выключатель автоматический модульный 2п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-2-40C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078985;            Выключатель автоматический модульный 2п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-2-50C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-2-50C RS;1;Выключатель автоматический модульный 2п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-2-50C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078986;            Выключатель автоматический модульный 2п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-2-63C RS; ;шт; ;шт; ;Выключатель автоматический модульный 2п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-2-63C RS;1;Выключатель автоматический модульный 2п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-2-63C RS;0;0;0;0,0001;1;Новинка; 
00078987;            Выключатель автоматический модульный 3п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-3-25C RS; ;шт; ;шт; ;Выключатель автоматический модульный 3п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-3-25C RS;1;Выключатель автоматический модульный 3п C 25А 4.5кА ВА 47-29 Basic EKF mcb4729-3-25C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078988;            Выключатель автоматический модульный 3п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-3-32C RS; ;шт; ;шт; ;Выключатель автоматический модульный 3п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-3-32C RS;1;Выключатель автоматический модульный 3п C 32А 4.5кА ВА 47-29 Basic EKF mcb4729-3-32C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078989;            Выключатель автоматический модульный 3п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-3-40C RS; ;шт; ;шт; ;Выключатель автоматический модульный 3п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-3-40C RS;1;Выключатель автоматический модульный 3п C 40А 4.5кА ВА 47-29 Basic EKF mcb4729-3-40C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078990;            Выключатель автоматический модульный 3п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-3-50C RS; ;шт; ;шт; ;Выключатель автоматический модульный 3п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-3-50C RS;1;Выключатель автоматический модульный 3п C 50А 4.5кА ВА 47-29 Basic EKF mcb4729-3-50C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078992;            Выключатель автоматический модульный 3п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-3-63C RS; ;шт; ;шт; ;Выключатель автоматический модульный 3п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-3-63C RS;1;Выключатель автоматический модульный 3п C 63А 4.5кА ВА 47-29 Basic EKF mcb4729-3-63C RS;0;0;0;0,0001;1;Новинка;4,69E+12
00078969;         Серия Proxima;;;;;;;;;;;;;;;
00078993;            Авт. выкл. 1P 10А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-10C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 10А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 10А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00078994;            Авт. выкл. 1P 16А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-16C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 16А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 16А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00078997;            Авт. выкл. 1P 16А (D) 4,5kA ВА 47-63 EKF;mcb4763-1-16D-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 16А (D) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 16А (D) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00078998;            Авт. выкл. 1P 25А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-25C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 25А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 25А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00078999;            Авт. выкл. 1P 25А (D) 4,5kA ВА 47-63 EKF;mcb4763-1-25D-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 25А (D) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 25А (D) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00079000;            Авт. выкл. 1P 32А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-32C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 32А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 32А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00079001;            Авт. выкл. 1P 40А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-40C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 40А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 40А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00079002;            Авт. выкл. 1P 63А (C) 4,5kA ВА 47-63 EKF;mcb4763-1-63C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 1P 63А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 1P 63А (C) 4,5kA ВА 47-63 EKF;7,2;1,8;8;0,0001;1;Новинка;4,69E+12
00079003;            Авт. выкл. 2P 16А (C) 4,5kA ВА 47-63 EKF;mcb4763-2-16C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 2P 16А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 2P 16А (C) 4,5kA ВА 47-63 EKF;7,2;3,6;8;0,0002;1;Новинка;"4690216064598                 
4690216530949"
00079004;            Авт. выкл. 2P 25А (C) 4,5kA ВА 47-63 EKF;mcb4763-2-25C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 2P 25А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 2P 25А (C) 4,5kA ВА 47-63 EKF;7,2;3,6;8;0,0002;1;Новинка;4,69E+12
00079005;            Авт. выкл. 2P 32А (C) 4,5kA ВА 47-63 EKF;mcb4763-2-32C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 2P 32А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 2P 32А (C) 4,5kA ВА 47-63 EKF;7,2;3,6;8;0,0002;1;Новинка;4,69E+12
00079006;            Авт. выкл. 2P 40А (C) 4,5kA ВА 47-63 EKF;mcb4763-2-40C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 2P 40А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 2P 40А (C) 4,5kA ВА 47-63 EKF;7,2;3,6;8;0,0002;1;Новинка;"4690216064673                 
4690216531106"
00079007;            Авт. выкл. 2P 63А (C) 4,5kA ВА 47-63 EKF;mcb4763-2-63C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 2P 63А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 2P 63А (C) 4,5kA ВА 47-63 EKF;7,2;3,6;8;0,0002;1;Новинка;"4690216064710                 
4690216531168"
00079008;            Авт. выкл. 3P 10А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-10C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 10А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 10А (C) 4,5kA ВА 47-63 EKF;7,2;5,3;8;0,0003;1;Новинка;4,69E+12
00079010;            Авт. выкл. 3P 16А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-16C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 16А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 16А (C) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;4,69E+12
00079011;            Авт. выкл. 3P 16А (D) 4,5kA ВА 47-63 EKF;mcb4763-3-16D-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 16А (D) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 16А (D) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;4,69E+12
00079012;            Авт. выкл. 3P 25А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-25C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 25А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 25А (C) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;4,69E+12
00079013;            Авт. выкл. 3P 25А (D) 4,5kA ВА 47-63 EKF;mcb4763-3-25D-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 25А (D) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 25А (D) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;"4690216067148                 
4690216532806"
00079014;            Авт. выкл. 3P 32А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-32C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 32А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 32А (C) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;4,69E+12
00079015;            Авт. выкл. 3P 40А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-40C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 40А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 40А (C) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка;4,69E+12
00079016;            Авт. выкл. 3P 63А (C) 4,5kA ВА 47-63 EKF;mcb4763-3-63C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 3P 63А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 3P 63А (C) 4,5kA ВА 47-63 EKF;7,2;5,4;8;0,0003;1;Новинка; 
00079017;            Авт. выкл. 4P 40А (C) 4,5kA ВА 47-63 EKF;mcb4763-4-40C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 4P 40А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 4P 40А (C) 4,5kA ВА 47-63 EKF;7,2;7,2;8;0,0004;1;Новинка;4,69E+12
00079018;            Авт. выкл. 4P 63А (C) 4,5kA ВА 47-63 EKF;mcb4763-4-63C-pro;шт;Выключатели автоматические предназначены для защиты от перегрузки и короткого замыкания электрических цепей с единичными и групповыми потребителями электрической энергии. Выключатели имеют три типа характеристики срабатывания от тока короткого замыкания и;шт; ;Авт. выкл. 4P 63А (C) 4,5kA ВА 47-63 EKF;1;Выключатель автоматический 4P 63А (C) 4,5kA ВА 47-63 EKF;7,2;7,2;8;0,0004;1;Новинка;4,69E+12
00079020;            АД-32 1P+N 16А (С) 30мА тип (АС) эл. 4,5кА EKF PROxima;DA32-16-30-pro;шт;Дифференциальный автоматический выключатель АД-32 EKF PROxima представляет собой аппарат, сочетающий функции автоматического выключателя с устройством защитного отключения. При обнаружении автоматическим выключателем в защищаемом участке сети тока утечки ;шт; ;АД-32 1P+N 16А (С) 30мА тип (АС) эл. 4,5кА EKF PROxima;1;Дифференциальный автомат-32 1P+N 16А (С) 30мА тип (АС) эл. 4,5кА EKF PROxima;7,2;3,6;8;0,0002;1;Новинка;4,69E+12
00079021;            АД-32 1P+N 25А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;DA32-25-30-a-pro;шт;Дифференциальный автоматический выключатель АД-32 EKF PROxima представляет собой аппарат, сочетающий функции автоматического выключателя с устройством защитного отключения. При обнаружении автоматическим выключателем в защищаемом участке сети тока утечки ;шт; ;АД-32 1P+N 25А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;1;Дифференциальный автомат-32 1P+N 25А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;6,5;9;8,5;0,0005;1;Новинка;4,69E+12
00079022;            АД-32 1P+N 40А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;DA32-40-30-a-pro;шт;Дифференциальный автоматический выключатель АД-32 EKF PROxima представляет собой аппарат, сочетающий функции автоматического выключателя с устройством защитного отключения. При обнаружении автоматическим выключателем в защищаемом участке сети тока утечки ;шт; ;АД-32 1P+N 40А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;1;Дифференциальный автомат-32 1P+N 40А (С) 30мА тип (А) эл. 4,5кА EKF PROxima;7,2;3,6;8;0,0002;1;Новинка;4,69E+12
00079024;            Выкл. нагрузки 3P 40А ВН-63 EKF;SL63-3-40-pro;шт; ;шт; ;Выкл. нагрузки 3P 40А ВН-63 EKF;0;Выключатель нагрузки 3P 40А ВН-63 EKF;7,3;5,3;8,3;0,0003;1;Новинка; 
00079025;            Выкл. нагрузки 3P 63А ВН-63N EKF PROxima;S63363;шт; ;шт; ;Выкл. нагрузки 3P 63А ВН-63N EKF PROxima;0;Выключатель нагрузки 3P 63А ВН-63N EKF PROxima;7,3;5,3;8,3;0,0003;1;Новинка; 
00079026;            Диф. автомат 10А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;DA63-10-30-AC;шт; ;шт; ;Диф. автомат 10А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;0;Диф. автомат 10А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;4,1;8,5;7,5;0,0003;1;Новинка; 
00079027;            Диф. автомат 20А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;DA63-20-30-AC;шт; ;шт; ;Диф. автомат 20А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;0;Диф. автомат 20А 30мА х-ка C эл-мех тип AС 6кА АВДТ-63 EKF PROxima;4,1;8,5;7,5;0,0003;1;Новинка; 
00079028;            Расцепитель независимый РН-47 EKF PROxima;mdri-47-pro;шт; ;шт; ;Расцепитель независимый РН-47 EKF PROxima;0;Расцепитель независимый РН-47 EKF PROxima;7,2;7,2;8;0,0004;1;Заказной; 
00079029;            Трехпоз. перекл. 2P 63А EKF PROxima;TPS263;шт; ;шт; ;Трехпоз. перекл. 2P 63А EKF PROxima;1;Трехпозиционный переключатель 2P 63А EKF PROxima;7,2;3,6;8,3;0,0002;1;Новинка;4,69E+12
00079031;            УЗО ВД-100 2P 25А 30мА тип (А) эл-мех EKF PROxima;elcb-2-25-30-em-a-pro;шт;Устройство защитного отключения-это новое поколение устройств. Предназначены для защиты человека от поражения электрическим током при прикосновении к открытой проводке или к электрооборудованию, оказавшемуся под напряжением и для предотвращения возгорания;шт; ;УЗО ВД-100 2P 25А 30мА тип (А) эл-мех EKF PROxima;1;Устройство Защитного Отключения ВД-100 2P 25А 30мА тип (А) эл-мех EKF PROxima;4;10;9;0,0004;1;Новинка;"4690216110639                 
4690216406817"
00079032;            УЗО ВД-100 2P 40А 30мА тип (А) эл-мех EKF PROxima;elcb-2-40-30-em-a-pro;шт;Устройство защитного отключения-это новое поколение устройств. Предназначены для защиты человека от поражения электрическим током при прикосновении к открытой проводке или к электрооборудованию, оказавшемуся под напряжением и для предотвращения возгорания;шт; ;УЗО ВД-100 2P 40А 30мА тип (А) эл-мех EKF PROxima;1;Устройство Защитного Отключения ВД-100 2P 40А 30мА тип (А) эл-мех EKF PROxima;4;10;9;0,0004;1;Новинка;4,69E+12
00079033;            УЗО ВД-100 2P 63А 100мА тип (А) эл-мех EKF PROxima;elcb-2-63-100-em-a-pro;шт;Устройство защитного отключения-это новое поколение устройств. Предназначены для защиты человека от поражения электрическим током при прикосновении к открытой проводке или к электрооборудованию, оказавшемуся под напряжением и для предотвращения возгорания;шт; ;УЗО ВД-100 2P 63А 100мА тип (А) эл-мех EKF PROxima;1;Устройство Защитного Отключения ВД-100 2P 63А 100мА тип (А) эл-мех EKF PROxima;4;10;9;0,0004;1;Новинка;4,69E+12
00079034;            УЗО ВД-100 2P 63А 30мА тип (А) эл-мех EKF PROxima;elcb-2-63-30-em-a-pro;шт;Устройство защитного отключения-это новое поколение устройств. Предназначены для защиты человека от поражения электрическим током при прикосновении к открытой проводке или к электрооборудованию, оказавшемуся под напряжением и для предотвращения возгорания;шт; ;УЗО ВД-100 2P 63А 30мА тип (А) эл-мех EKF PROxima;1;Устройство Защитного Отключения ВД-100 2P 63А 30мА тип (А) эл-мех EKF PROxima;4;10;9;0,0004;1;Новинка;4,69E+12
00078959;      IEK;;;;;;;;;;;;;;;
00079035;         Серия KARAT;;;;;;;;;;;;;;;
00085955;            KARAT АВДТ 32 C16 30мА тип A IEK;KARAT АВДТ 32 C16 30мА ти;шт; ;шт; ;KARAT АВДТ 32 C16 30мА тип A IEK;0;KARAT АВДТ 32 C16 30мА тип A IEK;8;4;7;0,0002;0;Новинка; 
