ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
Розетка 1гн с З/К с/у крем механизм 16А INSPIRIA Legrand (1/10/100);шт;00080450; ;24; ; ; ; ; ; ; ; ; ; ;24
Розетка 1гн ТВ оконечная  с/у крем механизм INSPIRIA Legrand (1/5);шт;00080451; ;20; ; ; ; ; ; ; ; ; ; ;20
Розетка 2гн с З/К с/у крем в сборе 16А INSPIRIA Legrand (1/5/50);шт;00080452; ;29; ; ; ; ; ; ; ; ; ; ;29
Светорегулятор 300Вт поворотно-нажимной с/у крем механизм INSPIRIA Legrand (1/5/50);шт;00080453; ;9; ; ; ; ; ; ; ; ; ; ;9
LEZARD;;00079243;; ; ; ; ; ; ; ; ; ; ; ; 
Серия Karina;;00080498;; ; ; ; ; ; ; ; ; ; ; ; 
Цвет белый;;00080500;; ; ; ; ; ; ; ; ; ; ; ; 
KARINA Выключатель белый LEZ;шт;00080478; ;2; ; ; ; ; ; ; ; ; ; ;2
KARINA Выключатель двойной белый LEZ;шт;00080479; ;4; ; ; ; ; ; ; ; ; ; ;4
KARINA Выключатель двойной с подсветкой белый LEZ;шт;00080480; ;1; ; ; ; ; ; ; ; ; ; ;1
KARINA Выключатель проходной двойной белый LEZ;шт;00080482; ;10; ; ; ; ; ; ; ; ; ; ;10
KARINA Выключатель тройной белый LEZ;шт;00080484; ;10; ; ; ; ; ; ; ; ; ; ;10
KARINA Диммер 800 Вт белый LEZ;шт;00080485; ;7; ; ; ; ; ; ; ; ; ; ;7
KARINA Рамка 2-ая горизонтальная б/вст белая LEZ;шт;00080487; ;18; ; ; ; ; ; ; ; ; ; ;18
KARINA Рамка 3-ая горизонтальная б/вст белая LEZ;шт;00080488; ;2; ; ; ; ; ; ; ; ; ; ;2
KARINA Рамка 4-ая горизонтальная б/вст белая LEZ;шт;00080489; ;13; ; ; ; ; ; ; ; ; ; ;13
