ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
Механизм выключателя 1-кл. СП Glossa 10А IP20 (сх. 1) 10AX беж. SchE GSL000211 RS;шт;00043114; ;37; ; ; ; ; ; ; ; ;40; ;77
Механизм выключателя 1-кл. СП Glossa 10А IP20 (сх. 1а) 10AX с подсветкой беж. SchE GSL000213 RS;шт;00043121; ;9; ; ; ; ; ; ; ; ; ; ;9
Механизм выключателя 2-кл. СП Glossa 10А IP20 (сх. 5) 10AX беж. SchE GSL000251 RS;шт;00043110; ;41; ; ; ; ; ; ; ; ; ;14;55
Механизм выключателя 2-кл. СП Glossa 10А IP20 (сх. 5а) 10AX с подсветкой беж. SchE GSL000253 RS;шт;00043124; ;8; ; ; ; ; ; ; ; ; ; ;8
Механизм выключателя 3-кл. СП Glossa 10А IP20 (сх. 1+1+1) 10AX беж. SchE GSL000231 RS;шт;00080614; ;31; ; ; ; ; ; ; ; ; ; ;31
Механизм переключателя 1-кл. промеж СП Glossa 10А IP20 (сх. 6) 10AX беж. SchE GSL000271;шт;00082910; ;20; ; ; ; ; ; ; ; ; ; ;20
Механизм переключателя 1-кл. СП Glossa 10А IP20 (сх. 6) 10AX беж. SchE GSL000261 RS;шт;00080615; ;30; ; ; ; ; ; ; ; ; ; ;30
Механизм переключателя 2-кл. СП Glossa 10А IP20 (сх. 6/2) 10AX беж. SchE GSL000265 RS;шт;00080616; ;4; ; ; ; ; ; ; ; ; ; ;4
Механизм розетки 1-м СП Glossa 16А IP20 без заземл. беж. SchE GSL000241;шт;00082908; ;40;50; ; ; ; ; ; ; ;30; ;120
Механизм розетки 1-м СП Glossa 16А IP20 с заземл. беж. SchE GSL000243 RS;шт;00080617; ;182; ; ; ; ; ; ; ; ; ;30;212
Механизм розетки 1-м СП Glossa 16А IP20 с заземл. защ. шторки беж. SchE GSL000245 RS;шт;00080618; ;7; ; ; ; ; ; ; ; ; ; ;7
Механизм розетки 2-м СП Glossa 16А IP20 без заземл. беж. SchE GSL000220;шт;00082907; ;80;30; ; ; ; ; ; ; ; ; ;110
Механизм розетки 2-м СП Glossa 16А IP20 с заземл. беж. SchE GSL000224;шт;00082906; ;2; ; ; ; ; ; ; ; ; ; ;2
Механизм розетки TV 1-м СП Glossa 1DB беж. SchE GSL000291 RS;шт;00080619; ;21; ; ; ; ; ; ; ; ; ; ;21
Механизм розетки TV коннектор 1-м СП Glossa 1DB беж. SchE GSL000293;шт;00082909; ;20; ; ; ; ; ; ; ; ; ; ;20
Механизм розетки компьютерной RJ45 1-м СП Glossa беж. SchE GSL000281K RS;шт;00080620; ;10;10; ; ; ; ; ; ; ; ; ;20
Механизм розетки телеф. 1-м СП Glossa RJ11 беж. SchE GSL000281T RS;шт;00080621; ;15; ; ; ; ; ; ; ; ; ; ;15
Рамка 1-м Glossa беж. SE GSL000201;шт;00080622; ;153;100; ; ; ; ; ; ; ; ; ;253
Рамка 1-м Glossa беж. квадратная;шт;00080623; ;53; ; ; ; ; ; ; ; ; ; ;53
Рамка 2-м Glossa горизонт. беж. SchE GSL000202 RS;шт;00080624; ;31; ; ; ; ; ; ; ; ; ; ;31
Рамка 3-м Glossa горизонт. беж. SchE GSL000203 RS;шт;00080625; ;41;5; ; ; ; ; ; ; ; ; ;46
Рамка 4-м Glossa горизонт. беж. SchE GSL000204 RS;шт;00080626; ;37; ; ; ; ; ; ; ; ; ; ;37
Рамка 5-м Glossa горизонт. беж. SchE GSL000205 RS;шт;00080627; ;94; ; ; ; ; ; ; ; ; ; ;94
Светорегулятор (диммер) СП Glossa 300Вт Glossa поворот. в сборе беж. SchE GSL000234 RS;шт;00080628; ;5; ; ; ; ; ; ; ; ; ; ;5
Цвет белый;;00080631;; ; ; ; ; ; ; ; ; ; ; ; 
Механизм выключателя 1-кл. СП Glossa 10А IP20 (сх. 1) 10AX бел. SchE GSL000111 RS;шт;00080632; ;44;70; ; ; ; ; ; ; ;30; ;144
Механизм выключателя 2-кл. СП Glossa 10А IP20 (сх. 5) 10AX бел. SchE GSL000151 RS;шт;00080634; ;12; ; ; ; ; ; ; ; ;20; ;32
Механизм выключателя 2-кл. СП Glossa 10А IP20 (сх. 5а) 10AX с подсветкой бел. SchE GSL000153 RS;шт;00080635; ;1; ; ; ; ; ; ; ; ; ; ;1
Механизм выключателя 3-кл. СП Glossa 10А IP20 (сх. 1+1+1) 10AX бел. SchE GSL000131 RS;шт;00080636; ;6; ; ; ; ; ; ; ; ; ; ;6
Механизм переключателя 1-кл. СП Glossa 10А IP20 (сх. 6) 10AX бел. SchE GSL000161 RS;шт;00080637; ;20; ; ; ; ; ; ; ; ; ; ;20
Механизм переключателя 2-кл. СП Glossa 10А IP20 (сх. 6/2) 10AX бел. SchE GSL000165 RS;шт;00080638; ;1; ; ; ; ; ; ; ; ; ; ;1
Механизм переключателя промежут 1-кл. СП Glossa 10А IP20 (сх. 6) 10AX бел. SchE GSL000171;шт;00082905; ;11; ; ; ; ; ; ; ; ; ; ;11
Механизм розетки 1-м СП Glossa 16А IP20 без заземл. бел. SchE GSL000141;шт;00082902; ;118; ; ; ; ; ; ; ; ;40; ;158
Механизм розетки 1-м СП Glossa 16А IP20 с заземл. бел. SchE GSL000143 RS;шт;00080639; ;59; ; ; ; ; ; ; ; ;20; ;79
Механизм розетки 1-м СП Glossa 16А IP20 с заземл. защ. шторки бел. SchE GSL000145 RS;шт;00080640; ;19; ; ; ; ; ; ; ; ; ; ;19
Механизм розетки 2-м СП Glossa 16А IP20 без заземл. бел. SchE GSL000120;шт;00082903; ;105;95; ; ; ; ; ; ; ; ; ;200
Механизм розетки 2-м СП Glossa 16А IP20 с заземл. бел. SchE GSL000124;шт;00080641; ;27; ; ; ; ; ; ; ; ; ; ;27
Механизм розетки TV звезда 1-м СП Glossa 1DB бел. SchE GSL000193;шт;00082904; ;20; ; ; ; ; ; ; ; ; ; ;20
Механизм розетки комп. 1-м СП Glossa RJ45 бел. SchE GSL000181K RS;шт;00080643; ;49; ; ; ; ; ; ; ; ; ; ;49
Механизм розетки телеф. 1-м СП Glossa RJ11 бел. SchE GSL000181T RS;шт;00080644; ;16; ; ; ; ; ; ; ; ; ; ;16
Рамка 1-м Glossa бел. SchE GSL000101 RS;шт;00080645; ;59; ; ; ; ; ; ; ; ; ; ;59
Рамка 2-м Glossa горизонт. бел. SchE GSL000102 RS;шт;00080646; ;96; ; ; ; ; ; ; ; ; ; ;96
Рамка 3-м Glossa горизонт. бел. SchE GSL000103 RS;шт;00080647; ;107; ; ; ; ; ; ; ; ; ; ;107
Рамка 4-м Glossa горизонт. бел. SchE GSL000104 RS;шт;00080648; ;20;15; ; ; ; ; ; ; ; ; ;35
Рамка 5-м Glossa горизонт. бел. SchE GSL000105 RS;шт;00080649; ;37; ; ; ; ; ; ; ; ; ; ;37
Светорегулятор (диммер) СП Glossa 300Вт поворот. в сборе бел. SchE GSL000134 RS;шт;00080650; ;3; ; ; ; ; ; ; ; ; ; ;3
Серия HIT;;00080239;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-клавишный Systeme Electric (Schneider Electric) Hit, белый VS16-133-B;шт;00080604; ;4; ; ;29; ; ; ; ; ;106; ;139
Розетка двойная с заземлением 16А Systeme Electric (Schneider Electric) Hit, белый RS16-236-B;шт;00080605; ; ; ; ; ; ; ; ; ; ;98; ;98
Розетка с заземлением 16А Systeme Electric (Schneider Electric) Hit, белый RS16-134-B;шт;00080606; ;31;1; ; ; ; ; ; ; ; ; ;32
Серия ЭТЮД (Накладные);;00080240;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1кл о/у белый IP20 Этюд Systeme Electric (1/25/200);шт;00080608; ;127;25; ; ; ; ; ; ; ; ; ;152
Ретро TDM;;00080230;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель поворотный 2-кл. с ручкой (бантик) 10А коричневый «Виви» TDM;шт;00080455; ;33; ; ; ; ; ; ; ; ; ; ;33
Выключатель поворотный проходной с ручкой (бантик) 10А коричневый «Виви» TDM;шт;00080456; ;39; ; ; ; ; ; ; ; ; ; ;39
Выключатель поворотный проходной с ручкой (бантик) 10А сл. кость «Виви» TDM;шт;00083268; ;42; ; ; ; ; ; ; ; ;12; ;54
Изолятор пластиковый коричневый (10 шт) TDM;упак;00080457; ;13; ; ; ; ; ; ; ; ;6; ;19
Изолятор пластиковый слоновая кость(10 шт) TDM;упак;00083260; ;11; ; ; ; ; ; ; ; ;5; ;16
Изолятор пластиковый слоновая кость(100 шт) TDM;упак;00083259; ;9; ; ; ; ; ; ; ; ;5; ;14
Коробка распаячная D90х43 мм инд. штрихкод  коричневая «Виви» TDM;шт;00080459; ;7; ; ; ; ; ; ; ; ; ; ;7
Рамка 1-но постовая коричневая «Виви» TDM;шт;00080461; ;5; ; ; ; ; ; ; ; ; ; ;5
Рамка 1-но постовая сл. кость «Виви» TDM;шт;00083272; ;60; ; ; ; ; ; ; ; ; ;48;108
Рамка 2-х постовая коричневая «Виви» TDM;шт;00080463; ;4; ; ; ; ; ; ; ; ;72; ;76
Рамка 2-х постовая сл. кость «Виви» TDM;шт;00083273; ;53; ; ; ; ; ; ; ; ; ;48;101
Рамка 3-х постовая коричневая «Виви» TDM;шт;00080465; ;35; ; ; ; ; ; ; ; ; ;18;53
Рамка 3-х постовая сл. кость «Виви» TDM;шт;00083274; ;36; ; ; ; ; ; ; ; ; ;18;54
Розетка 2П 10А 250В коричневая «Виви» TDM;шт;00080469; ;2; ; ; ; ; ; ; ; ;6; ;8
Розетка 2П 10А 250В сл. кость «Виви» TDM;шт;00083269; ;72; ; ; ; ; ; ; ; ;30; ;102
Розетка 2П+З 16А 250В коричневая «Виви» TDM;шт;00083275; ;57; ; ; ; ; ; ; ; ;42; ;99
Розетка 2П+З 16А 250В сл. кость «Виви» TDM;шт;00083270; ;98; ; ; ; ; ; ; ; ;50; ;148
Светильники;;00079240;; ; ; ; ; ; ; ; ; ; ; ; 
Аварийные светильники;;00079949;; ; ; ; ; ; ; ; ; ; ; ; 
Свет-к с/д (авар.) LE LED LT-9030 (20);шт;00079965; ;269; ; ; ; ; ; ; ; ; ;100;369
Свет-к с/д (авар.) LE LED LT-9060 (20);шт;00079966; ;184; ; ; ; ; ; ; ; ; ;80;264
Свет-к с/д (авар.) LE LED LT-9090 (15);шт;00079967; ;91; ; ; ; ; ; ; ; ; ;100;191
Свет-к с/д (авар.) LE LED LT-96130 (40);шт;00079968; ;1; ; ; ; ; ; ; ; ; ; ;1
Бра;;00079950;; ; ; ; ; ; ; ; ; ; ; ; 
Свет-к с/д (бра) LE LED WL ARIS 13W BLACK;шт;00079969; ;47; ; ;3; ; ; ; ; ; ;17;67
Кронштейны для уличных светльников;;00079951;; ; ; ; ; ; ; ; ; ; ; ; 
Кронштейн КР-3 для уличного светильника с переменным углом TDM;шт;00079971; ; ;8; ; ; ; ; ; ; ; ; ;8
Кронштейн КР-3У универсальный для уличного светильника с переменным углом TDM;шт;00079970; ;33; ; ; ; ; ; ; ; ; ; ;33
Линейный светильник;;00079952;; ; ; ; ; ; ; ; ; ; ; ; 
Свет-к с/д LE LED ECO 02  36W 6500К (матовый) (20);шт;00079972;2;86;50; ;20; ; ; ; ; ; ; ;156
Свет-к с/д LE LED ECO 02 18W 6500К (матовый) (20);шт;00079973; ;4; ; ; ; ; ; ; ; ; ; ;4
Свет-к с/д LE LED ECO R 02 18W 6500К (призма) (20);шт;00079974; ;7; ; ; ; ; ; ; ; ; ; ;7
Свет-к с/д LE LED ECO R 02 36W 6500К (призма) (20);шт;00079975; ;32; ; ; ; ; ; ; ; ; ; ;32
Настенные уличные светильники;;00079953;; ; ; ; ; ; ; ; ; ; ; ; 
Настенный светильник уличный Apeyron Леда 11-99 E27 цвет белый;шт;00080660; ;2; ; ; ; ; ; ; ; ; ; ;2
Свет-к садовый LE GL1 GU10x2 настенный черный (20);шт;00079981; ;28;20; ; ; ; ; ; ; ; ; ;48
Свет-к садовый LE GL4 E27x2 настенный черный (10);шт;00079982;30;1;80; ; ; ; ; ; ; ; ; ;81
Светильник Прага Эл-11-71-1 60 Вт Е27 настенный вниз черный TDM;шт;00079978; ;1; ; ; ; ; ; ; ; ; ; ;1
Светильник Прага Эл-11-71М 60 Вт Е27 настенный вверх медь TDM;шт;00079980; ;1; ; ; ; ; ; ; ; ; ; ;1
Настольные лампы;;00079954;; ; ; ; ; ; ; ; ; ; ; ; 
Светильник настольный LE TL-203 BLACK (Черный, E27, пакет) (32);шт;00081209; ;24; ; ; ; ; ; ; ; ; ;10;34
Светильник настольный LE TL-203 WHITE (Белый, E27, пакет) (32);шт;00081210; ;9; ; ; ; ; ; ; ; ; ;10;19
Светильник настольный светодиод 12Вт белый ССО-06Б IN HOME (1/30);шт;00079983; ; ;1; ;10; ; ; ; ; ; ; ;11
Ночники;;00079955;; ; ; ; ; ; ; ; ; ; ; ; 
Гирлянда с/д нить LE LED XMAS 02, 3000K, 10м, 100 LED, зеленый кабель (30);шт;00079984; ;50;3; ; ; ; ;21; ; ; ; ;74
"Тройник ""Куб"" 2 гнезда 2USB 2,4А+Type C + Ночник";шт;00079985; ;8; ; ; ; ; ;3; ; ; ; ;11
Светильник встраиваемый;;00079956;; ; ; ; ; ; ; ; ; ; ; ; 
ДВО 1103 круглый 10Вт 6500K IP20 LUMA EKF;шт;00079995; ;148; ; ; ; ; ; ; ; ; ;50;198
ДВО 1106 круглый 18Вт 6500K IP20 LUMA EKF;шт;00079999; ;143; ; ; ; ; ; ; ; ; ;40;183
ДВО 1109 круглый 24Вт 6500K IP20 LUMA EKF;шт;00080002; ;57; ; ; ; ; ; ; ; ; ;50;107
Свет-к с/д встраиваемый LE LED  ARL 10W 4000K (квадрат) (100);шт;00080017; ;19;10; ; ; ; ; ; ; ; ;20;49
Свет-к с/д встраиваемый LE LED  ARL 10W 6500K (квадрат) (100);шт;00080018; ;29;10; ; ; ; ; ; ; ; ;20;59
Свет-к с/д встраиваемый LE LED  ARL 18W 4000K (квадрат) (100);шт;00080019; ;54; ; ; ; ; ; ; ; ; ;30;84
Свет-к с/д встраиваемый LE LED  ARL 18W 6500K (квадрат) (100);шт;00080020; ;42; ; ; ; ; ; ; ; ; ;30;72
Свет-к с/д встраиваемый LE LED ARL 10W 4000K (круг) (100);шт;00080021; ;14; ; ; ; ; ; ; ; ; ; ;14
Свет-к с/д встраиваемый LE LED ARL 10W 6500K (круг) (100);шт;00080023; ;2; ; ; ; ; ; ; ; ; ; ;2
Свет-к с/д встраиваемый LE LED ARL 18W 4000K (круг) (100);шт;00080027; ;20;10; ; ; ; ; ; ; ; ;20;50
Свет-к с/д встраиваемый LE LED ARL 18W 6500K (круг) (100);шт;00080029; ; ;30; ; ; ; ; ; ; ; ; ;30
Свет-к с/д встраиваемый LE LED RL WH 18W 6500K (30);шт;00081213; ;49;190; ; ; ; ; ; ; ;300;60;599
Светильник встраиваемый ДВО 1003 6Вт 6500K IP20 EKF Basic;шт;00082244; ;39; ; ; ; ; ; ; ; ; ;40;79
Светильник встраиваемый ДВО 1004 9Вт 2700K IP20 EKF Basic;шт;00080008; ; ;1; ; ; ; ; ; ; ; ; ;1
Светильник встраиваемый ДВО 1005 9Вт 4000K IP20 EKF Basic;шт;00080012; ;58; ; ; ; ; ; ; ; ; ;50;108
Светильник встраиваемый ДВО 1007 14Вт 4000K IP20 EKF Basic;шт;00080015; ;1; ; ; ; ; ; ; ; ; ; ;1
Светильник встраиваемый ДВО 1008 14Вт 6500K IP20 EKF Basic;шт;00082246; ;28;50; ; ; ; ; ; ; ; ; ;78
Светильник встраиваемый ДВО 1009 20Вт 4000K IP20 EKF Basic;шт;00080016; ;3; ; ; ; ; ; ; ; ; ; ;3
Светильник встраиваемый ДВО 1010 20Вт 6500K IP20 EKF Basic;шт;00082247; ;73;18; ; ; ; ; ; ;2; ; ;93
Светильник ЖКХ;;00079957;; ; ; ; ; ; ; ; ; ; ; ; 
Cветодиодный светильник ЖКХ GLANZEN RPD-0003-15 круг;шт;00080044; ;2; ; ;3; ; ; ; ; ; ; ;5
Основание прямое НБП 01-60-004/НББ 64-60/НББ 04-60-002-УХЛ4 (1/100);шт;00080051; ;4; ; ;7; ; ; ; ; ; ; ;11
Рассеиватель d150мм (шар пластик) антивандальный Свет Витебск  (1/50);шт;00080056; ;8; ; ;13; ; ; ; ; ; ; ;21
Свет-к с/д герметичный LE LED OBL 02 12W 6500K (овал) (40) (без инд.упак.);шт;00080067;6;48; ; ; ; ; ; ; ; ;160; ;208
Свет-к с/д герметичный LE LED RBL 02 15W 6500K (круг) (40) (без инд.упак.);шт;00081212; ; ; ; ; ; ; ; ; ; ;60; ;60
Светильник светодиодный ДПО-О1-12-6.5К-WIN-IP65 ЖКХ овал TOKOV ELECTRIC TOK-O1-12-6.5K-WIN-IP65  RS;шт;00080603; ;2; ; ; ; ; ; ; ; ; ; ;2
Светодиодный светильник ЖКХ c датчиком движения GLANZEN RPD-0013-15 круг;шт;00080070; ;10; ; ; ; ; ; ; ; ; ; ;10
Светильник на солнечных батареях;;00079958;; ; ; ; ; ; ; ; ; ; ; ; 
Светильник садовый SL-PL31 солнечная батарея ЭРА Б0007507  RS;шт;00080076; ;15; ; ; ; ; ; ; ; ; ; ;15
Светодиодный прожектор на солнечных батареях c датчиком движения GLANZEN FAD-0001-2-solar;шт;00080079; ;3;1; ;11; ; ; ; ; ; ; ;15
Светодиодный прожектор на солнечных батареях с датчиком движения GLANZEN FAD-0002-3-solar;шт;00080082; ;3; ; ; ; ; ; ; ; ; ; ;3
Светильник трековый;;00079959;; ; ; ; ; ; ; ; ; ; ; ; 
Свет-к трековый LEEK GU10 TR  1 белый (50);шт;00080087; ;31; ; ; ; ; ; ; ; ; ;26;57
Свет-к трековый LEEK GU10 TR  2 черный (50);шт;00080089; ;42; ; ; ; ; ; ; ; ;50;35;127
Светильники потолочные;;00081205;; ; ; ; ; ; ; ; ; ; ; ; 
"Свет-к с/д (потолочный) LE LED BL IP65 24W 5K; Цв. белый (20)";шт;00081211; ;8;30; ; ; ; ; ; ; ;70; ;108
Свет-к с/д (потолочный) СЛЛ 031 36Вт 6К Мистерия CN (395x62) (10);шт;00081207; ;18; ; ; ; ; ; ; ; ;70; ;88
Свет-к с/д (потолочный) СЛЛ 036 24Вт 6К Гранж (320х320x75) (10);шт;00081208; ;36; ; ; ; ; ; ; ; ; ; ;36
Свет-к с/д (потолочный) СЛЛ 041 24Вт 6К Бриллиант CNA (325x90) (10);шт;00080066; ;6;50; ; ; ; ; ; ; ;50; ;106
Свет-к с/д (потолочный) СЛЛ 041 28Вт 6К Бриллиант (325x90) (10);шт;00081206; ;10; ; ; ; ; ; ; ; ; ; ;10
Свет-к с/д накладной (квадрат) LE LED BK SL 15W 6500K QS (20);шт;00080068; ;17;50; ; ; ; ; ; ; ;50; ;117
Свет-к с/д накладной (круг) LE LED BK RL 15W 6500K QS (20);шт;00080069; ;54;80; ; ; ; ; ; ; ;190; ;324
Светодиодная панель;;00079960;; ; ; ; ; ; ; ; ; ; ; ; 
ДУО-4101-Z 36Вт 4000К EKF Basic;шт;00080098; ;23; ; ; ; ; ; ; ; ; ;10;33
ДУО-4102-Z 36Вт 6500К EKF Basic;шт;00080101; ;8;6; ; ; ; ; ; ; ; ;12;26
ДУО-4103-L 36Вт 4000К EKF Basic;шт;00080105; ;17;8; ; ; ; ; ; ; ; ;12;37
ДУО-4104-L 36Вт 6500К EKF Basic;шт;00080108; ;5;12; ; ; ; ; ; ; ; ;12;29
Светодиодная панель GLANZEN RPD-4000-34-30-G;шт;00080117; ;9;2; ; ; ; ; ; ; ; ; ;11
Светодиодный прожектор;;00079961;; ; ; ; ; ; ; ; ; ; ; ; 
Прожектор светодиод переносной 30Вт 6500К 2400Лм черный со шнуром 0,5м и евровилкой IP65 СДО-EXPERT;шт;00080956; ;28; ; ; ; ; ; ; ; ; ; ;28
Прожектор светодиодный СДО 06-20 6500К IP65 черн. IEK LPDO601-20-65-K02  RS;шт;00080630; ;1; ; ; ; ; ;2; ; ; ; ;3
Прожектор СДО 06-30 светодиодный черный IP65 6500K IEK;шт;00080120; ;8; ; ; ; ; ;3; ; ; ; ;11
Прожектор СДО 06-50 светодиодный черный IP65 6500K IEK;шт;00080695; ;2; ; ; ; ; ; ; ; ; ; ;2
Светодиодный прожектор GLANZEN FAD-0010-100;шт;00080124; ;7; ; ;15; ; ; ; ; ; ; ;22
СДО-3002 20Вт 6500К IP65 EKF Basic;шт;00080125; ;1; ; ; ; ; ; ; ; ; ; ;1
СДО-3004 50Вт 6500К IP65 EKF Basic;шт;00080127; ;2; ; ;13; ; ; ; ; ; ; ;15
СДО-3005 75Вт 6500К IP65 EKF Basic;шт;00080128; ;37;10; ; ; ; ; ; ; ; ; ;47
СДО-3006 100Вт 6500К IP65 EKF Basic;шт;00080129;10;26;12; ; ; ; ;1; ; ; ; ;39
Уличные светильники;;00079962;; ; ; ; ; ; ; ; ; ; ; ; 
ДКУ-9003-Ш 100Вт 5000К IP65 EKF PROxima;шт;00080130; ;2;5; ; ; ; ; ; ; ; ; ;7
Свет-к с/д (уличный) LE LST 3 LED  60W CW 6500K (1) (серый);шт;00082226; ;10; ; ; ; ; ; ; ; ; ; ;10
Свет-к с/д (уличный) PRE LED LST 2 120W;шт;00080134; ;14; ; ; ; ; ; ; ; ; ; ;14
Светильник  ЛКУ 02-125-002 Е40 под стекло TDM;шт;00080131; ;4; ; ; ; ; ; ; ; ; ; ;4
Светильник  ЛКУ 02-65-002 Е27 под стекло TDM;шт;00080132; ;4; ; ; ; ; ; ; ; ; ; ;4
Светильник ЛКУ 97-65-002 Е27 со стеклом TDM;шт;00083276; ;40; ; ; ; ; ; ; ; ; ; ;40
Светильник НКУ 97-300-002 Е40 со стеклом TDM;шт;00083277; ;20;4; ; ; ; ; ; ; ; ; ;24
Уличный светильник Akfa Lighting на солнечной батарее c датчиком движения и пультом д/у ak-ssl 150w;шт;00080136; ;8; ; ; ; ; ; ; ; ; ; ;8
Штативы для светильников;;00079963;; ; ; ; ; ; ; ; ; ; ; ; 
Штатив для 2хпрожекторов 4х10-100Вт<3кг LPR-TRIPOD ЭРА;шт;00080137;4;5;5; ; ; ; ; ; ; ; ;4;14
Светодиодная лента и комплектующие;;00079239;; ; ; ; ; ; ; ; ; ; ; ; 
Алюминиевый профиль для лент;;00079907;; ; ; ; ; ; ; ; ; ; ; ; 
Профиль накладной для с/д ленты LE PRO 2000x16x6 мм цв.хром (50);шт;00079906; ; ; ; ; ; ; ; ; ; ;50; ;50
Профиль накладной для с/д ленты LE PRO 2000x16x6 мм цв.черный (50);шт;00081204; ;4;10; ; ; ; ; ; ; ; ; ;14
Блоки питания 12 В;;00079908;; ; ; ; ; ; ; ; ; ; ; ; 
Блок питания для с/д  ленты 12В  36Вт (100);шт;00079913; ;2; ; ; ; ; ; ; ; ; ; ;2
Блок питания для с/д  ленты 12В  60Вт (120);шт;00079914; ;8; ; ; ; ; ; ; ; ; ; ;8
Блок питания для с/д  ленты 12В 100Вт (40);шт;00079915; ;19; ; ; ; ; ; ; ; ; ; ;19
Блок питания для с/д  ленты 12В 150Вт (50);шт;00079916; ;17; ; ; ; ; ; ; ; ; ; ;17
Блок питания для с/д  ленты 12В 300Вт (20);шт;00079918; ;13; ; ; ; ; ; ; ; ; ; ;13
Блок питания для с/д ленты 12В IP67 100Вт (30);шт;00079919; ;6; ; ; ; ; ; ; ; ; ; ;6
Блок питания для с/д ленты компактный 12В 100Вт IP20 (50);шт;00079920; ;9; ; ; ; ; ; ; ; ; ; ;9
Блок питания для с/д ленты с вилкой 12В 36Вт IP20 (100);шт;00079921; ;5; ; ; ; ; ; ; ; ; ; ;5
Блок питания для с/д ленты с вилкой 12В 60Вт IP20 (50);шт;00079922; ;5; ; ; ; ; ; ; ; ; ; ;5
Блок питания для с/д ленты ультратонкий 12В 36Вт IP20 (100);шт;00079923; ;26; ; ; ; ; ; ; ; ; ; ;26
Блок питания для с/д ленты ультратонкий 12В 60Вт IP20 (100);шт;00079924; ;1; ; ; ; ; ; ; ; ; ; ;1
Коннекторы для светодиодных лент;;00079909;; ; ; ; ; ; ; ; ; ; ; ; 
Коннектор L-образный для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100);упак;00079926; ;5; ; ; ; ; ; ; ; ; ; ;5
Коннектор L-образный для с/д ленты 12В RGB IP20 (10шт/упак) (1/100);упак;00079925; ;7; ; ; ; ; ; ; ; ; ; ;7
Коннектор для с/д ленты 12В RGB IP20 (1 клипса с проводом) (10шт/упак) (1/10);упак;00079928; ;6; ; ; ; ; ; ; ; ; ; ;6
Коннектор прямой для с/д ленты 12В 2835 IP20 (10шт/упак) (1/100);упак;00079929; ;4; ; ; ; ; ; ; ; ; ; ;4
Коннектор прямой для с/д ленты 12В RGB IP20 (10шт/упак) (1/100);упак;00079930; ;3; ; ; ; ; ; ; ; ; ; ;3
Лента 12В;;00079910;; ; ; ; ; ; ; ; ; ; ; ; 
Комплект светодиодной ленты SMD2835-60 LED/м-12 В-4,8 Вт/м-IP65-6000 К (3 м), 18 Вт TDM;шт;00079931; ;22; ; ; ; ; ; ; ; ; ; ;22
Комплект светодиодной ленты SMD2835-60 LED/м-12 В-4,8 Вт/м-IP65-6000 К (5 м), 24 Вт TDM;шт;00079932; ;17; ; ; ; ; ; ; ; ; ; ;17
Лента с/д LE 2835 -60 4,8Вт 6500K IP20 12В (5м) (500м);шт;00079934; ;2; ; ; ; ; ; ; ; ; ; ;2
Лента с/д LE 2835-120 9,6Вт 4000K IP20 12В (5м) (500м);шт;00079936; ;8; ; ; ; ; ; ; ; ; ; ;8
Лента с/д LE 2835-120 9,6Вт 6500K IP20 12В (5м) (500м);шт;00079937; ;27; ; ; ; ; ; ; ; ; ; ;27
Лента с/д LE 5050-60 14,4Вт 3000K IP20 12В (5м) (500м);шт;00086130; ; ; ; ; ; ; ; ; ; ;30; ;30
Лента с/д LE 5050-60 14,4Вт 6500K IP20 12В (5м) (500м);шт;00079938; ;68; ; ; ; ; ; ; ; ; ; ;68
Лента с/д LE 5050-60 14,4Вт RGB IP20 12В (5м) (500м);шт;00079939; ;19; ; ; ; ; ; ; ; ; ; ;19
Лента светодиодная LE COB 19Вт голубой IP20 (5м) (500м);шт;00079940; ;20; ; ; ; ; ; ; ; ; ; ;20
Лента светодиодная LE COB 19Вт зеленый IP20 (5м) (500м);шт;00079941; ;19; ; ; ; ; ; ; ; ; ; ;19
Лента светодиодная LE COB 19Вт красный IP20 (5м) (500м);шт;00079942; ;20; ; ; ; ; ; ; ; ; ; ;20
Лента светодиодная LE COB 19Вт розовый IP20 (5м) (500м);шт;00079943; ;20; ; ; ; ; ; ; ; ; ; ;20
Лента светодиодная LE COB 19Вт фиолетовый IP20 (5м) (500м);шт;00079944; ;18; ; ; ; ; ; ; ; ; ; ;18
Лента 220 В;;00079911;; ; ; ; ; ; ; ; ; ; ; ; 
Лента с/д LE LED NEON 2835-120 9,6Вт 3000К IP 67 220В (50м);м;00085860; ; ;20; ; ; ; ; ; ; ;130; ;150
Сетевой шнур 1500 w для 50 м с/д ленты LE LED NEON 220 В;шт;00079946; ;5; ; ; ; ; ; ; ; ; ; ;5
Оборудование для RGB ленты;;00079912;; ; ; ; ; ; ; ; ; ; ; ; 
